"filename", "language", "Python", "XML", "C++", "CMake", "CUDA C++", "Log", "Properties", "Batch", "PowerShell", "comment", "blank", "total"
"d:\Euler\venv\Lib\site-packages\torch\onnx\symbolic_helper.py", "Python", 355, 0, 0, 0, 0, 0, 0, 0, 0, 90, 94, 539
"d:\Euler\venv\Lib\site-packages\torch\onnx\symbolic_opset10.py", "Python", 128, 0, 0, 0, 0, 0, 0, 0, 0, 21, 32, 181
"d:\Euler\venv\Lib\site-packages\torch\onnx\symbolic_opset11.py", "Python", 449, 0, 0, 0, 0, 0, 0, 0, 0, 78, 132, 659
"d:\Euler\venv\Lib\site-packages\torch\onnx\symbolic_opset12.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 0, 18, 19, 79
"d:\Euler\venv\Lib\site-packages\torch\onnx\symbolic_opset7.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 14, 12, 48
"d:\Euler\venv\Lib\site-packages\torch\onnx\symbolic_opset8.py", "Python", 182, 0, 0, 0, 0, 0, 0, 0, 0, 40, 58, 280
"d:\Euler\venv\Lib\site-packages\torch\onnx\symbolic_opset9.py", "Python", 1561, 0, 0, 0, 0, 0, 0, 0, 0, 259, 484, 2304
"d:\Euler\venv\Lib\site-packages\torch\onnx\symbolic_registry.py", "Python", 68, 0, 0, 0, 0, 0, 0, 0, 0, 21, 22, 111
"d:\Euler\venv\Lib\site-packages\torch\onnx\utils.py", "Python", 650, 0, 0, 0, 0, 0, 0, 0, 0, 148, 134, 932
"d:\Euler\venv\Lib\site-packages\torch\optim\__init__.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 34
"d:\Euler\venv\Lib\site-packages\torch\optim\__init__.pyi", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Euler\venv\Lib\site-packages\torch\optim\adadelta.py", "Python", 43, 0, 0, 0, 0, 0, 0, 0, 0, 24, 14, 81
"d:\Euler\venv\Lib\site-packages\torch\optim\adadelta.pyi", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Euler\venv\Lib\site-packages\torch\optim\adagrad.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 0, 23, 16, 103
"d:\Euler\venv\Lib\site-packages\torch\optim\adagrad.pyi", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Euler\venv\Lib\site-packages\torch\optim\adam.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 0, 34, 16, 114
"d:\Euler\venv\Lib\site-packages\torch\optim\adam.pyi", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Euler\venv\Lib\site-packages\torch\optim\adamax.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 25, 15, 91
"d:\Euler\venv\Lib\site-packages\torch\optim\adamax.pyi", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Euler\venv\Lib\site-packages\torch\optim\adamw.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 0, 39, 17, 119
"d:\Euler\venv\Lib\site-packages\torch\optim\adamw.pyi", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Euler\venv\Lib\site-packages\torch\optim\asgd.py", "Python", 44, 0, 0, 0, 0, 0, 0, 0, 0, 28, 15, 87
"d:\Euler\venv\Lib\site-packages\torch\optim\asgd.pyi", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Euler\venv\Lib\site-packages\torch\optim\lbfgs.py", "Python", 303, 0, 0, 0, 0, 0, 0, 0, 0, 112, 61, 476
"d:\Euler\venv\Lib\site-packages\torch\optim\lbfgs.pyi", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Euler\venv\Lib\site-packages\torch\optim\lr_scheduler.py", "Python", 604, 0, 0, 0, 0, 0, 0, 0, 0, 476, 157, 1237
"d:\Euler\venv\Lib\site-packages\torch\optim\lr_scheduler.pyi", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 40
"d:\Euler\venv\Lib\site-packages\torch\optim\optimizer.py", "Python", 139, 0, 0, 0, 0, 0, 0, 0, 0, 53, 31, 223
"d:\Euler\venv\Lib\site-packages\torch\optim\optimizer.pyi", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\Euler\venv\Lib\site-packages\torch\optim\rmsprop.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 0, 33, 16, 111
"d:\Euler\venv\Lib\site-packages\torch\optim\rmsprop.pyi", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Euler\venv\Lib\site-packages\torch\optim\rprop.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 0, 23, 16, 81
"d:\Euler\venv\Lib\site-packages\torch\optim\rprop.pyi", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Euler\venv\Lib\site-packages\torch\optim\sgd.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 53, 11, 115
"d:\Euler\venv\Lib\site-packages\torch\optim\sgd.pyi", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Euler\venv\Lib\site-packages\torch\optim\sparse_adam.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 29, 17, 107
"d:\Euler\venv\Lib\site-packages\torch\optim\sparse_adam.pyi", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\Euler\venv\Lib\site-packages\torch\quantization\__init__.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 38
