3		1		0		-1		-1		3		
7		0		1		-1		-1		4		
10		1		1		0		-1		3		
13		2		1		0		-1		3		
16		3		1		0		-1		3		
17		1		2		1		-3		1		
19		4		1		0		-2		2		
22		5		1		0		-1		3		
24		1		3		1		-3		2		
25		6		1		0		-2		1		
28		7		1		0		-1		3		
30		3		3		3		-6		2		
34		2		4		2		-4		4		
36		5		3		5		-7		2		
42		7		3		5		-5		6		
51		3		6		5		-3		9		
56		7		5		7		-4		5		
60		6		6		8		-4		4		
62		9		5		10		-6		2		
65		10		5		0		-1		3		
77		7		8		5		-3		12		
88		13		7		10		-4		11		
89		11		8		8		-3		1		
91		14		7		0		-2		2		
106		12		10		5		-2		15		
109		13		10		0		-1		3		
114		17		9		9		-4		5		
115		15		10		8		-4		1		
126		14		12		5		-3		11		
129		15		12		0		-1		3		
138		18		12		8		-4		9		
141		19		12		0		-1		3		
146		16		14		5		-3		5		
147		21		12		16		-10		1		
155		19		14		5		-4		8		
164		22		14		5		-2		9		
167		23		14		0		-1		3		
184		24		16		5		-1		17		
187		25		16		0		-1		3		
190		26		16		0		-1		3		
193		27		16		0		-1		3		
196		28		16		0		-1		3		
199		29		16		0		-1		3		
205		31		16		23		-17		6		
210		28		18		5		-4		5		
216		30		18		5		-3		6		
219		31		18		0		-1		3		
237		30		21		23		-15		18		
239		33		20		12		-5		2		
242		34		20		0		-1		3		
245		35		20		0		-1		3		
248		36		20		0		-1		3		
251		37		20		0		-1		3		
260		33		23		26		-21		9		
268		38		22		5		-2		8		
277		34		25		5		-2		9		
280		35		25		0		-1		3		
283		36		25		0		-1		3		
286		37		25		0		-1		3		
289		38		25		0		-1		3		
295		40		25		16		-12		6		
300		37		27		5		-4		5		
306		39		27		5		-3		6		
309		40		27		0		-1		3		
327		46		27		21		-16		18		
329		42		29		12		-5		2		
332		43		29		0		-1		3		
335		44		29		0		-1		3		
338		45		29		0		-1		3		
341		46		29		0		-1		3		
358		47		31		5		-1		17		
387		52		33		17		-7		29		
390		53		33		0		-1		3		
393		54		33		0		-1		3		
396		55		33		0		-1		3		
399		56		33		0		-1		3		
402		57		33		0		-1		3		
405		58		33		0		-1		3		
408		59		33		0		-1		3		
413		56		35		5		-5		5		
419		58		35		5		-4		6		
425		60		35		5		-3		6		
428		61		35		0		-1		3		
431		62		35		0		-1		3		
434		63		35		0		-1		3		
439		60		37		12		-8		5		
445		62		37		5		-4		6		
451		64		37		5		-3		6		
454		65		37		0		-1		3		
457		66		37		0		-1		3		
460		67		37		0		-1		3		
471		66		39		5		-3		11		
472		64		40		26		-22		1		
477		68		39		5		-3		5		
480		69		39		0		-1		3		
483		70		39		0		-1		3		
486		71		39		0		-1		3		
503		72		41		5		-1		17		
530		74		44		23		-13		27		
547		75		46		5		-1		17		
550		76		46		0		-1		3		
558		81		45		10		-3		8		
562		80		46		23		-11		4		
567		77		48		5		-3		5		
570		78		48		0		-1		3		
573		79		48		0		-1		3		
576		80		48		0		-1		3		
582		82		48		8		-6		6		
588		84		48		11		-7		6		
593		81		50		5		-3		5		
599		83		50		5		-3		6		
602		84		50		0		-1		3		
614		88		50		16		-11		12		
620		90		50		18		-12		6		
631		89		52		5		-2		11		
634		90		52		0		-1		3		
646		94		52		21		-15		12		
652		89		55		48		-38		6		
654		92		54		12		-5		2		
657		93		54		0		-1		3		
660		94		54		0		-1		3		
669		90		57		5		-4		9		
704		97		59		32		-21		35		
706		100		58		17		-7		2		
712		95		61		17		-7		6		
715		96		61		0		-1		3		
718		97		61		0		-1		3		
730		101		61		8		-4		12		
733		102		61		0		-1		3		
738		99		63		12		-7		5		
747		102		63		5		-3		9		
820		117		67		26		-8		73		
823		118		67		0		-1		3		
837		118		69		5		-2		14		
887		123		74		65		-33		50		
904		124		76		5		-1		17		
907		125		76		0		-1		3		
919		129		76		85		-43		12		
924		126		78		5		-2		5		
927		127		78		0		-1		3		
930		128		78		0		-1		3		
933		129		78		0		-1		3		
942		132		78		85		-45		9		
950		130		80		5		-2		8		
959		133		80		5		-2		9		
962		134		80		0		-1		3		
965		135		80		0		-1		3		
968		136		80		0		-1		3		
973		140		79		64		-32		5		
982		136		82		5		-3		9		
1008		140		84		22		-13		26		
1011		141		84		0		-1		3		
1014		142		84		0		-1		3		
1017		143		84		0		-1		3		
1020		144		84		0		-1		3		
1023		145		84		0		-1		3		
1026		146		84		0		-1		3		
1037		145		86		5		-3		11		
1043		147		86		5		-2		6		
1046		148		86		0		-1		3		
1049		149		86		0		-1		3		
1052		150		86		0		-1		3		
1055		151		86		0		-1		3		
1058		152		86		0		-1		3		
1063		149		88		5		-5		5		
1069		151		88		5		-4		6		
1075		153		88		5		-3		6		
1078		154		88		0		-1		3		
1081		155		88		0		-1		3		
1084		156		88		0		-1		3		
1095		155		90		5		-3		11		
1101		157		90		5		-2		6		
1104		158		90		0		-1		3		
1107		159		90		0		-1		3		
1110		160		90		0		-1		3		
1113		161		90		0		-1		3		
1116		162		90		0		-1		3		
1121		159		92		5		-5		5		
1122		157		93		26		-28		1		
1127		161		92		5		-5		5		
1133		163		92		5		-4		6		
1136		164		92		0		-1		3		
1153		165		94		5		-1		17		
1211		168		101		22		-5		58		
1240		173		103		108		-67		29		
1243		174		103		0		-1		3		
1244		179		101		23		-4		1		
1261		180		103		5		-1		17		
1298		183		107		116		-71		37		
1301		184		107		0		-1		3		
1322		184		110		8		-2		21		
1333		190		109		22		-5		11		
1336		191		109		0		-1		3		
1414		196		118		92		-51		78		
1415		201		116		26		-5		1		
1432		202		118		5		-1		17		
1435		203		118		0		-1		3		
1452		204		120		5		-1		17		
1455		205		120		0		-1		3		
1458		206		120		0		-1		3		
1461		207		120		0		-1		3		
1464		208		120		0		-1		3		
1467		209		120		0		-1		3		
1478		208		122		5		-3		11		
1484		210		122		5		-2		6		
1487		211		122		0		-1		3		
1490		212		122		0		-1		3		
1493		213		122		0		-1		3		
1496		214		122		0		-1		3		
1499		215		122		0		-1		3		
1505		210		125		23		-17		6		
1510		214		124		5		-4		5		
1516		216		124		5		-3		6		
1519		217		124		0		-1		3		
1528		213		127		26		-21		9		
1536		218		126		5		-2		8		
1537		216		127		48		-28		1		
1545		214		129		5		-3		8		
1548		215		129		0		-1		3		
1551		216		129		0		-1		3		
1568		217		131		5		-1		17		
1591		220		133		122		-87		23		
1595		226		131		101		-65		4		
1597		222		133		17		-7		2		
1600		223		133		0		-1		3		
1603		224		133		0		-1		3		
1606		225		133		0		-1		3		
1609		226		133		0		-1		3		
1615		221		136		8		-7		6		
1618		222		136		0		-1		3		
1629		228		135		12		-8		11		
1635		223		138		5		-2		6		
1638		224		138		0		-1		3		
1641		225		138		0		-1		3		
1644		226		138		0		-1		3		
1658		226		140		5		-2		14		
1705		237		142		26		-15		47		
1708		238		142		0		-1		3		
1716		243		141		92		-52		8		
1719		244		141		0		-1		3		
1725		239		144		5		-3		6		
1728		240		144		0		-1		3		
1731		241		144		0		-1		3		
1734		242		144		0		-1		3		
1745		241		146		5		-3		11		
1751		243		146		5		-2		6		
1754		244		146		0		-1		3		
1757		245		146		0		-1		3		
1760		246		146		0		-1		3		
1763		247		146		0		-1		3		
